keyword,estimated_intent,category,type,notes,search_volume,kd,cpc_eur,serp_features,priority_score,data_source,orig_cluster_name
zeitarbeit software,commercial,cluster_01,head,Hauptbegriff zvoove One,1822,82,2.83,ads|site-links,22.2,estimated,Zeitarbeitssoftware & zvoove One
zeitarbeitssoftware,commercial,cluster_01,head,Schreibvariante zusammen,4381,57,9.99,ads,76.9,estimated,Zeitarbeitssoftware & zvoove One
software für zeitarbeitsfirmen,commercial,cluster_01,body,Long-Head Brand-Match,482,68,4.08,ads|shopping|site-links,7.1,estimated,Zeitarbeitssoftware & zvoove One
software für personaldienstleister,commercial,cluster_01,body,zvoove Hauptzielgruppe,159,37,10.66,ads|shopping,4.3,estimated,Zeitarbeitssoftware & zvoove One
zvoove one,commercial,cluster_01,head,Brand-Keyword,928,75,5.2,ads|shopping,12.4,estimated,Zeitarbeitssoftware & zvoove One
zvoove one preise,commercial,cluster_01,longtail,Kaufintention hoch,88,58,6.98,site-links,1.5,estimated,Zeitarbeitssoftware & zvoove One
zvoove one kosten,commercial,cluster_01,longtail,Kaufintention hoch,40,65,10.46,ads|shopping|site-links,0.6,estimated,Zeitarbeitssoftware & zvoove One
zvoove one demo,commercial,cluster_01,longtail,Lead-Magnet Trigger,157,66,3.13,shopping|site-links,2.4,estimated,Zeitarbeitssoftware & zvoove One
zvoove software erfahrungen,commercial,cluster_01,longtail,Reviewsuche,179,37,10.85,shopping|site-links,4.8,estimated,Zeitarbeitssoftware & zvoove One
zvoove erfahrungen,commercial,cluster_01,body,Brand Reputation,87,73,8.79,site-links,1.2,estimated,Zeitarbeitssoftware & zvoove One
erp zeitarbeit,commercial,cluster_01,body,Kategoriebegriff,565,43,11.83,shopping,13.1,estimated,Zeitarbeitssoftware & zvoove One
erp personaldienstleister,commercial,cluster_01,body,Kategoriebegriff,142,36,4.85,ads|shopping,3.9,estimated,Zeitarbeitssoftware & zvoove One
cloud erp zeitarbeit,commercial,cluster_01,longtail,Cloud-Trend,49,31,4.03,ads|shopping,1.6,estimated,Zeitarbeitssoftware & zvoove One
branchensoftware zeitarbeit,commercial,cluster_01,body,Kategorie,197,60,4.38,ads|shopping|site-links,3.3,estimated,Zeitarbeitssoftware & zvoove One
branchensoftware personaldienstleistung,commercial,cluster_01,body,Kategorie,93,51,7.25,site-links,1.8,estimated,Zeitarbeitssoftware & zvoove One
zeitarbeit programm,commercial,cluster_01,head,Synonym,3980,79,6.78,shopping|site-links,50.4,estimated,Zeitarbeitssoftware & zvoove One
zeitarbeit verwaltungssoftware,commercial,cluster_01,body,Synonym,227,43,3.41,ads|shopping,5.3,estimated,Zeitarbeitssoftware & zvoove One
zeitarbeit komplettlösung,commercial,cluster_01,longtail,USP-orientiert,197,55,4.23,shopping,3.6,estimated,Zeitarbeitssoftware & zvoove One
all in one zeitarbeit software,commercial,cluster_01,longtail,Komplettlösung,64,41,10.91,ads|site-links,1.6,estimated,Zeitarbeitssoftware & zvoove One
zeitarbeit software vergleich,commercial,cluster_01,longtail,Bottom-Funnel,149,40,11.84,shopping,3.7,estimated,Zeitarbeitssoftware & zvoove One
zeitarbeit software test,commercial,cluster_01,longtail,Bottom-Funnel,30,63,10.96,shopping,0.5,estimated,Zeitarbeitssoftware & zvoove One
zeitarbeit software anbieter,commercial,cluster_01,longtail,Anbietersuche,84,28,2.2,ads,3.0,estimated,Zeitarbeitssoftware & zvoove One
beste zeitarbeit software,commercial,cluster_01,longtail,Vergleichsabsicht,37,50,8.84,ads|shopping,0.7,estimated,Zeitarbeitssoftware & zvoove One
zeitarbeit software open source,commercial,cluster_01,longtail,Sparvariante,95,61,6.51,site-links,1.6,estimated,Zeitarbeitssoftware & zvoove One
landwer zeitarbeit software,commercial,cluster_01,longtail,Wettbewerb,55,39,4.75,ads,1.4,estimated,Zeitarbeitssoftware & zvoove One
prosoft zeitarbeit alternative,commercial,cluster_01,longtail,Wettbewerber-Switch,55,45,9.03,ads|shopping|site-links,1.2,estimated,Zeitarbeitssoftware & zvoove One
zvoove vs landwehr,commercial,cluster_01,longtail,Comparison-Query,61,46,6.98,site-links,1.3,estimated,Zeitarbeitssoftware & zvoove One
zvoove vs prosoft,commercial,cluster_01,longtail,Comparison-Query,93,60,2.52,site-links,1.6,estimated,Zeitarbeitssoftware & zvoove One
zvoove alternative,commercial,cluster_01,body,Wettbewerb,410,73,6.98,shopping|site-links,5.6,estimated,Zeitarbeitssoftware & zvoove One
software zeitarbeit kmu,commercial,cluster_01,longtail,Segment KMU,27,34,4.4,site-links,0.8,estimated,Zeitarbeitssoftware & zvoove One
zeitarbeit software mittelstand,commercial,cluster_01,longtail,Segment,152,29,8.89,shopping|site-links,5.2,estimated,Zeitarbeitssoftware & zvoove One
zeitarbeit software einführung,commercial,cluster_01,longtail,Implementation,172,34,11.96,shopping,5.1,estimated,Zeitarbeitssoftware & zvoove One
software zeitarbeit kleine firma,commercial,cluster_01,longtail,Segment Klein,111,30,4.71,site-links,3.7,estimated,Zeitarbeitssoftware & zvoove One
saas zeitarbeit,commercial,cluster_01,body,Liefermodell,707,56,5.76,ads|shopping|site-links,12.6,estimated,Zeitarbeitssoftware & zvoove One
saas personaldienstleister,commercial,cluster_01,body,Liefermodell,654,38,2.39,shopping,17.2,estimated,Zeitarbeitssoftware & zvoove One
zeitarbeit software dsgvo,commercial,cluster_01,longtail,Compliance-Filter,85,30,8.36,shopping,2.8,estimated,Zeitarbeitssoftware & zvoove One
zeitarbeit software api,commercial,cluster_01,longtail,Integration,105,63,6.26,site-links,1.7,estimated,Zeitarbeitssoftware & zvoove One
zvoove integration datev,commercial,cluster_01,longtail,Integration DATEV,183,43,4.03,shopping|site-links,4.3,estimated,Zeitarbeitssoftware & zvoove One
zvoove schnittstellen,commercial,cluster_01,longtail,Integration,103,37,11.54,ads|site-links,2.8,estimated,Zeitarbeitssoftware & zvoove One
zvoove implementierung,commercial,cluster_01,longtail,Onboarding,25,53,11.48,ads,0.5,estimated,Zeitarbeitssoftware & zvoove One
zvoove demo termin,commercial,cluster_01,longtail,Lead-Stage,45,55,7.53,shopping,0.8,estimated,Zeitarbeitssoftware & zvoove One
zvoove webinar,commercial,cluster_01,longtail,Lead-Magnet,129,43,8.67,ads,3.0,estimated,Zeitarbeitssoftware & zvoove One
zvoove case study,commercial,cluster_01,longtail,Trust-Signal,75,40,7.89,shopping|site-links,1.9,estimated,Zeitarbeitssoftware & zvoove One
software für arbeitnehmerüberlassung,commercial,cluster_01,longtail,Synonym AÜG,95,33,10.31,ads|shopping,2.9,estimated,Zeitarbeitssoftware & zvoove One
aüg software,commercial,cluster_01,head,Kategorie,1563,48,10.48,site-links,32.6,estimated,Zeitarbeitssoftware & zvoove One
aüg software vergleich,commercial,cluster_01,longtail,Vergleich,30,43,3.32,shopping,0.7,estimated,Zeitarbeitssoftware & zvoove One
