keyword,estimated_intent,category,type,notes,search_volume,kd,cpc_eur,serp_features,priority_score,data_source,keyword_clean,orig_cluster_name,hdb,hier10,hier12,noise_assigned,hdb_label,hdb_label_de
aüg,informational,cluster_06,head,Kürzel,5006,32,1.5,people-also-ask|video,156.4,estimated,aüg,AUEG & Rechtssicherheit,4,10,12,False,Payroll and Applicant Management,Lohnabrechnung und Bewerberverwaltung
digitalisierung zeitarbeit,informational,cluster_07,head,Trend,5645,40,2.1,featured-snippet|video,141.1,estimated,digitalisierung zeitarbeit,Digitalisierung & Cloud in der Personaldienstleistung,7,4,5,False,Digital Transformation of HR Services,Digitalisierung Personaldienstleistung
fachkräftemangel deutschland,informational,cluster_10,head,Branchenproblem,3916,29,0.31,featured-snippet|people-also-ask|video,135.0,estimated,fachkräftemangel deutschland,Branchentrends & Marktentwicklung,5,5,6,True,Staffing Laws and Market Trends,Zeitarbeit Gesetze und Markttrends
digitalisierung personaldienstleistung,informational,cluster_07,head,Trend,4088,32,2.34,people-also-ask,127.8,estimated,digitalisierung personaldienstleistung,Digitalisierung & Cloud in der Personaldienstleistung,7,4,5,False,Digital Transformation of HR Services,Digitalisierung Personaldienstleistung
künstliche intelligenz personaldienstleistung,informational,cluster_12,head,Trend,4035,39,1.89,featured-snippet|video,103.5,estimated,künstliche intelligenz personaldienstleistung,KI & Automatisierung im Recruiting,7,4,5,False,Digital Transformation of HR Services,Digitalisierung Personaldienstleistung
dokumentenmanagement software,commercial,cluster_07,head,Kategorie,5975,59,9.45,ads,101.3,estimated,dokumentenmanagement software,Digitalisierung & Cloud in der Personaldienstleistung,10,4,5,True,HR and Document Management Software,HR und Dokumentenverwaltungssoftware
ki recruiting,informational,cluster_12,head,Trend,3354,36,2.43,people-also-ask,93.2,estimated,ki recruiting,KI & Automatisierung im Recruiting,2,3,4,False,AI-Powered Recruiting and Sourcing,KI-gestütztes Recruiting und Sourcing
debitorenmanagement,informational,cluster_05,head,Aufgabe,4929,54,0.77,video,91.3,estimated,debitorenmanagement,Liquiditaet & Factoring,8,8,10,False,Liquidity Equal Pay and Collective Agreements,Liquidität Equal Pay und Tarifvertrag
equal pay zeitarbeit,informational,cluster_06,head,Begriff,3331,37,1.16,video,90.0,estimated,equal pay zeitarbeit,AUEG & Rechtssicherheit,8,7,9,False,Liquidity Equal Pay and Collective Agreements,Liquidität Equal Pay und Tarifvertrag
höchstüberlassungsdauer,informational,cluster_06,head,Begriff,3959,51,1.87,people-also-ask,77.6,estimated,höchstüberlassungsdauer,AUEG & Rechtssicherheit,5,8,10,False,Staffing Laws and Market Trends,Zeitarbeit Gesetze und Markttrends
zeitarbeitssoftware,commercial,cluster_01,head,Schreibvariante zusammen,4381,57,9.99,ads,76.9,estimated,zeitarbeitssoftware,Zeitarbeitssoftware & zvoove One,1,1,1,False,Time Tracking and Staffing Software,Zeiterfassung und Zeitarbeitssoftware
mitarbeiterverwaltung software,commercial,cluster_09,head,Tool,4809,63,11.52,ads|shopping|site-links,76.3,estimated,mitarbeiterverwaltung software,HR & Mitarbeiterverwaltung,10,2,3,False,HR and Document Management Software,HR und Dokumentenverwaltungssoftware
zvoove referenzen,commercial,cluster_11,head,Brand-Trust,4617,61,11.42,ads|site-links,75.7,estimated,zvoove referenzen,Kundenreferenzen & ROI,3,10,12,False,Zvoove Platform Features and Pricing,Zvoove Plattform Features und Preise
personaleinsatzplanung,informational,cluster_04,head,Generisch,4799,64,1.15,featured-snippet|video,75.0,estimated,personaleinsatzplanung,Zeiterfassung & Disposition,6,5,7,False,Personnel Management and Recruiting Processes,Personalverwaltung und Recruiting Prozesse
arbeitnehmerüberlassungsgesetz,informational,cluster_06,head,Gesetz,2910,40,2.23,featured-snippet|people-also-ask,72.8,estimated,arbeitnehmerüberlassungsgesetz,AUEG & Rechtssicherheit,11,7,9,False,Employee Leasing Legal Framework,Arbeitnehmerüberlassung Rechtliche Grundlagen
bewerber finden,informational,cluster_03,head,Generisch,2768,39,1.54,featured-snippet,71.0,estimated,bewerber finden,Recruiting & Bewerbermanagement,4,10,12,False,Payroll and Applicant Management,Lohnabrechnung und Bewerberverwaltung
hr software kmu,commercial,cluster_09,head,Generisch,4028,58,5.66,ads,69.4,estimated,hr software kmu,HR & Mitarbeiterverwaltung,10,2,3,False,HR and Document Management Software,HR und Dokumentenverwaltungssoftware
bewerbermanagement software,commercial,cluster_03,head,Hauptbegriff,5670,84,10.51,shopping,67.5,estimated,bewerbermanagement software,Recruiting & Bewerbermanagement,10,2,3,False,HR and Document Management Software,HR und Dokumentenverwaltungssoftware
gebäudereinigung software,commercial,cluster_08,head,Branchenfokus,5051,78,8.43,shopping|site-links,64.8,estimated,gebäudereinigung software,Gebaeudedienstleistung Software,9,2,2,False,Facility Cleaning Management Software,Gebäudereinigung Verwaltungssoftware
zeiterfassung software,commercial,cluster_04,head,Hauptbegriff,4892,76,8.87,ads|site-links,64.4,estimated,zeiterfassung software,Zeiterfassung & Disposition,1,1,1,False,Time Tracking and Staffing Software,Zeiterfassung und Zeitarbeitssoftware
zvoove cashlink,commercial,cluster_05,head,Brand,2982,47,5.67,shopping,63.4,estimated,zvoove cashlink,Liquiditaet & Factoring,3,10,12,False,Zvoove Platform Features and Pricing,Zvoove Plattform Features und Preise
arbeitnehmerüberlassung,informational,cluster_06,head,Begriff,4131,66,2.24,people-also-ask,62.6,estimated,arbeitnehmerüberlassung,AUEG & Rechtssicherheit,11,7,9,False,Employee Leasing Legal Framework,Arbeitnehmerüberlassung Rechtliche Grundlagen
mobile zeiterfassung,commercial,cluster_04,head,Trend Mobile,4743,82,5.13,shopping|site-links,57.8,estimated,mobile zeiterfassung,Zeiterfassung & Disposition,1,1,1,False,Time Tracking and Staffing Software,Zeiterfassung und Zeitarbeitssoftware
gehaltsabrechnung software,commercial,cluster_02,head,Kategorie,3940,70,5.57,site-links,56.3,estimated,gehaltsabrechnung software,Lohnabrechnung & Payroll,10,2,3,False,HR and Document Management Software,HR und Dokumentenverwaltungssoftware
zvoove dms,commercial,cluster_07,head,Brand,3902,76,8.61,ads,51.3,estimated,zvoove dms,Digitalisierung & Cloud in der Personaldienstleistung,3,10,12,False,Zvoove Platform Features and Pricing,Zvoove Plattform Features und Preise
zeitarbeit programm,commercial,cluster_01,head,Synonym,3980,79,6.78,shopping|site-links,50.4,estimated,zeitarbeit programm,Zeitarbeitssoftware & zvoove One,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
einsatzplanung software,commercial,cluster_04,head,Tool,2335,47,2.15,ads|shopping,49.7,estimated,einsatzplanung software,Zeiterfassung & Disposition,10,2,3,False,HR and Document Management Software,HR und Dokumentenverwaltungssoftware
zvoove cockpit,commercial,cluster_07,head,Brand,3418,70,6.71,shopping|site-links,48.8,estimated,zvoove cockpit,Digitalisierung & Cloud in der Personaldienstleistung,3,10,12,False,Zvoove Platform Features and Pricing,Zvoove Plattform Features und Preise
digitale zeiterfassung,commercial,cluster_04,head,Trend,3656,77,8.72,shopping,47.5,estimated,digitale zeiterfassung,Zeiterfassung & Disposition,7,4,5,False,Digital Transformation of HR Services,Digitalisierung Personaldienstleistung
gig economy deutschland,informational,cluster_10,body,Trend,789,17,2.2,video,46.4,estimated,gig economy deutschland,Branchentrends & Marktentwicklung,5,5,6,True,Staffing Laws and Market Trends,Zeitarbeit Gesetze und Markttrends
factoring buchen,informational,cluster_05,body,Buchhaltung,799,18,2.27,featured-snippet|people-also-ask,44.4,estimated,factoring buchen,Liquiditaet & Factoring,0,9,11,False,Factoring Booking and Approval,Factoring Buchung und Genehmigung
zeitarbeit branche entwicklung,informational,cluster_10,head,Marktanalyse,2456,56,0.68,people-also-ask|video,43.9,estimated,zeitarbeit branche entwicklung,Branchentrends & Marktentwicklung,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
gebäudedienstleister software,commercial,cluster_08,head,Hauptbegriff,2662,61,8.35,ads|site-links,43.6,estimated,gebäudedienstleister software,Gebaeudedienstleistung Software,10,2,3,False,HR and Document Management Software,HR und Dokumentenverwaltungssoftware
igz tarifvertrag aktuell,informational,cluster_10,body,Tarif,700,17,1.76,people-also-ask,41.2,estimated,igz tarifvertrag aktuell,Branchentrends & Marktentwicklung,8,8,10,True,Liquidity Equal Pay and Collective Agreements,Liquidität Equal Pay und Tarifvertrag
ats software,commercial,cluster_03,head,Kategorie,3060,78,10.59,ads,39.2,estimated,ats software,Recruiting & Bewerbermanagement,10,2,3,False,HR and Document Management Software,HR und Dokumentenverwaltungssoftware
gebäudereiniger digital,informational,cluster_08,body,Trend,619,16,1.03,people-also-ask|video,38.7,estimated,gebäudereiniger digital,Gebaeudedienstleistung Software,7,4,5,False,Digital Transformation of HR Services,Digitalisierung Personaldienstleistung
zahlungsausfall absichern,informational,cluster_05,body,Risiko,769,20,2.27,people-also-ask,38.5,estimated,zahlungsausfall absichern,Liquiditaet & Factoring,8,8,10,False,Liquidity Equal Pay and Collective Agreements,Liquidität Equal Pay und Tarifvertrag
zvoove payroll,commercial,cluster_02,head,Brand,3188,85,2.56,ads|shopping,37.5,estimated,zvoove payroll,Lohnabrechnung & Payroll,3,10,12,False,Zvoove Platform Features and Pricing,Zvoove Plattform Features und Preise
karriereseite erstellen,informational,cluster_03,body,Aufgabe,706,19,0.43,featured-snippet|people-also-ask,37.2,estimated,karriereseite erstellen,Recruiting & Bewerbermanagement,6,5,7,True,Personnel Management and Recruiting Processes,Personalverwaltung und Recruiting Prozesse
aüg software,commercial,cluster_01,head,Kategorie,1563,48,10.48,site-links,32.6,estimated,aüg software,Zeitarbeitssoftware & zvoove One,10,2,3,False,HR and Document Management Software,HR und Dokumentenverwaltungssoftware
candidate experience verbessern,informational,cluster_03,longtail,Best Practice,195,7,0.4,featured-snippet|people-also-ask|video,27.9,estimated,candidate experience verbessern,Recruiting & Bewerbermanagement,2,3,4,False,AI-Powered Recruiting and Sourcing,KI-gestütztes Recruiting und Sourcing
roi zeitarbeit software,commercial,cluster_11,head,Business Case,2065,76,4.1,shopping,27.2,estimated,roi zeitarbeit software,Kundenreferenzen & ROI,1,1,1,False,Time Tracking and Staffing Software,Zeiterfassung und Zeitarbeitssoftware
factoring zeitarbeit,commercial,cluster_05,head,Hauptbegriff,2219,85,8.96,shopping,26.1,estimated,factoring zeitarbeit,Liquiditaet & Factoring,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
automatisierung recruiting prozess,informational,cluster_12,body,Trend,739,29,0.73,featured-snippet|people-also-ask,25.5,estimated,automatisierung recruiting prozess,KI & Automatisierung im Recruiting,2,3,4,False,AI-Powered Recruiting and Sourcing,KI-gestütztes Recruiting und Sourcing
auslastung zeitarbeit erhöhen,informational,cluster_11,longtail,KPI,176,7,2.44,featured-snippet,25.1,estimated,auslastung zeitarbeit erhöhen,Kundenreferenzen & ROI,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
lohnbuchhaltung zeitarbeit,informational,cluster_02,body,Buchhaltung,549,24,1.95,video,22.9,estimated,lohnbuchhaltung zeitarbeit,Lohnabrechnung & Payroll,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
personalakte inhalt,informational,cluster_09,body,Wissen,792,35,1.89,featured-snippet|people-also-ask,22.6,estimated,personalakte inhalt,HR & Mitarbeiterverwaltung,6,5,7,False,Personnel Management and Recruiting Processes,Personalverwaltung und Recruiting Prozesse
zvoove recruit,commercial,cluster_03,head,Brand,1369,61,3.75,shopping|site-links,22.4,estimated,zvoove recruit,Recruiting & Bewerbermanagement,3,10,12,False,Zvoove Platform Features and Pricing,Zvoove Plattform Features und Preise
zeitarbeit software,commercial,cluster_01,head,Hauptbegriff zvoove One,1822,82,2.83,ads|site-links,22.2,estimated,zeitarbeit software,Zeitarbeitssoftware & zvoove One,1,1,1,False,Time Tracking and Staffing Software,Zeiterfassung und Zeitarbeitssoftware
arbeitszeugnis erstellen zeitarbeit,informational,cluster_09,longtail,Aufgabe,177,8,2.29,featured-snippet|people-also-ask|video,22.1,estimated,arbeitszeugnis erstellen zeitarbeit,HR & Mitarbeiterverwaltung,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
recruiting software,commercial,cluster_03,head,Hauptbegriff,1149,52,6.81,ads,22.1,estimated,recruiting software,Recruiting & Bewerbermanagement,2,3,4,False,AI-Powered Recruiting and Sourcing,KI-gestütztes Recruiting und Sourcing
arbeitsmarkt 2026,informational,cluster_10,body,Trend,417,19,1.91,people-also-ask,21.9,estimated,arbeitsmarkt 2026,Branchentrends & Marktentwicklung,11,7,9,True,Employee Leasing Legal Framework,Arbeitnehmerüberlassung Rechtliche Grundlagen
ki matching kandidaten,informational,cluster_12,longtail,Tech,150,7,1.18,people-also-ask|video,21.4,estimated,ki matching kandidaten,KI & Automatisierung im Recruiting,2,3,4,False,AI-Powered Recruiting and Sourcing,KI-gestütztes Recruiting und Sourcing
cloud sicherheit kmu,informational,cluster_07,body,Compliance,446,21,0.78,featured-snippet,21.2,estimated,cloud sicherheit kmu,Digitalisierung & Cloud in der Personaldienstleistung,1,1,1,False,Time Tracking and Staffing Software,Zeiterfassung und Zeitarbeitssoftware
lizenzmodell saas,informational,cluster_11,body,Pricing,436,21,1.68,featured-snippet|people-also-ask,20.8,estimated,lizenzmodell saas,Kundenreferenzen & ROI,4,10,12,False,Payroll and Applicant Management,Lohnabrechnung und Bewerberverwaltung
facility management software,commercial,cluster_08,head,Branchenfokus,1493,72,6.03,shopping|site-links,20.7,estimated,facility management software,Gebaeudedienstleistung Software,10,2,3,False,HR and Document Management Software,HR und Dokumentenverwaltungssoftware
datenschutz personaldienstleister,informational,cluster_06,body,Compliance,718,36,1.47,people-also-ask,19.9,estimated,datenschutz personaldienstleister,AUEG & Rechtssicherheit,7,4,5,False,Digital Transformation of HR Services,Digitalisierung Personaldienstleistung
mobile zeiterfassung app,commercial,cluster_04,body,App,755,39,2.83,shopping,19.4,estimated,mobile zeiterfassung app,Zeiterfassung & Disposition,1,1,1,False,Time Tracking and Staffing Software,Zeiterfassung und Zeitarbeitssoftware
lohnabrechnung pdf vorlage,informational,cluster_02,longtail,Download-Intent,136,7,1.57,featured-snippet|people-also-ask,19.4,estimated,lohnabrechnung pdf vorlage,Lohnabrechnung & Payroll,4,10,12,False,Payroll and Applicant Management,Lohnabrechnung und Bewerberverwaltung
weiterbildung zeitarbeit,informational,cluster_09,body,Trend,534,28,0.97,featured-snippet|people-also-ask,19.1,estimated,weiterbildung zeitarbeit,HR & Mitarbeiterverwaltung,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
lohnabrechnung was beachten,informational,cluster_02,longtail,Wie-Frage,131,7,1.62,featured-snippet|people-also-ask,18.7,estimated,lohnabrechnung was beachten,Lohnabrechnung & Payroll,4,10,12,False,Payroll and Applicant Management,Lohnabrechnung und Bewerberverwaltung
revisionssichere archivierung,informational,cluster_07,body,Compliance,681,38,2.3,people-also-ask,17.9,estimated,revisionssichere archivierung,Digitalisierung & Cloud in der Personaldienstleistung,7,4,5,False,Digital Transformation of HR Services,Digitalisierung Personaldienstleistung
saas personaldienstleister,commercial,cluster_01,body,Liefermodell,654,38,2.39,shopping,17.2,estimated,saas personaldienstleister,Zeitarbeitssoftware & zvoove One,6,5,7,False,Personnel Management and Recruiting Processes,Personalverwaltung und Recruiting Prozesse
bewerbermanagement system,commercial,cluster_03,head,Synonym,1138,67,9.09,ads|shopping,17.0,estimated,bewerbermanagement system,Recruiting & Bewerbermanagement,10,2,3,True,HR and Document Management Software,HR und Dokumentenverwaltungssoftware
azubi verwaltung,commercial,cluster_09,body,Tool,712,42,9.34,ads,17.0,estimated,azubi verwaltung,HR & Mitarbeiterverwaltung,6,5,7,True,Personnel Management and Recruiting Processes,Personalverwaltung und Recruiting Prozesse
crm zeitarbeit,commercial,cluster_07,head,Tool,1360,81,8.83,shopping|site-links,16.8,estimated,crm zeitarbeit,Digitalisierung & Cloud in der Personaldienstleistung,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
factoring erlaubnis,informational,cluster_05,body,Recht,671,40,2.28,featured-snippet|people-also-ask|video,16.8,estimated,factoring erlaubnis,Liquiditaet & Factoring,0,9,11,False,Factoring Booking and Approval,Factoring Buchung und Genehmigung
equal pay berechnen,informational,cluster_06,longtail,Wie-Frage,131,8,1.3,video,16.4,estimated,equal pay berechnen,AUEG & Rechtssicherheit,8,7,9,False,Liquidity Equal Pay and Collective Agreements,Liquidität Equal Pay und Tarifvertrag
mitarbeiter onboarding zeitarbeit,informational,cluster_09,longtail,Prozess,163,10,0.46,featured-snippet,16.3,estimated,mitarbeiter onboarding zeitarbeit,HR & Mitarbeiterverwaltung,11,7,9,False,Employee Leasing Legal Framework,Arbeitnehmerüberlassung Rechtliche Grundlagen
zukunft zeitarbeit,informational,cluster_10,body,Trend,631,39,0.65,featured-snippet|people-also-ask,16.2,estimated,zukunft zeitarbeit,Branchentrends & Marktentwicklung,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
zertifizierung iso 27001 software,informational,cluster_07,longtail,Trust,125,8,0.9,featured-snippet,15.6,estimated,zertifizierung iso 27001 software,Digitalisierung & Cloud in der Personaldienstleistung,10,2,3,False,HR and Document Management Software,HR und Dokumentenverwaltungssoftware
disposition zeitarbeitnehmer,informational,cluster_04,body,Funktion,395,26,1.67,video,15.2,estimated,disposition zeitarbeitnehmer,Zeiterfassung & Disposition,11,7,9,False,Employee Leasing Legal Framework,Arbeitnehmerüberlassung Rechtliche Grundlagen
zeiterfassung handwerk,commercial,cluster_04,body,Branche,618,41,8.2,ads|shopping,15.1,estimated,zeiterfassung handwerk,Zeiterfassung & Disposition,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
liquidität zeitarbeit,informational,cluster_05,body,Branchenproblem,719,48,2.0,featured-snippet|people-also-ask|video,15.0,estimated,liquidität zeitarbeit,Liquiditaet & Factoring,8,8,10,True,Liquidity Equal Pay and Collective Agreements,Liquidität Equal Pay und Tarifvertrag
gebäudereinigung digitalisieren,informational,cluster_08,longtail,Trend,178,12,2.23,people-also-ask,14.8,estimated,gebäudereinigung digitalisieren,Gebaeudedienstleistung Software,9,2,2,False,Facility Cleaning Management Software,Gebäudereinigung Verwaltungssoftware
diversity zeitarbeit,informational,cluster_10,body,Trend,325,22,1.62,people-also-ask|video,14.8,estimated,diversity zeitarbeit,Branchentrends & Marktentwicklung,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
abrechnung zeitarbeitnehmer,informational,cluster_02,body,Synonym,280,19,1.09,featured-snippet|video,14.7,estimated,abrechnung zeitarbeitnehmer,Lohnabrechnung & Payroll,11,7,9,False,Employee Leasing Legal Framework,Arbeitnehmerüberlassung Rechtliche Grundlagen
ai act recruiting,informational,cluster_12,longtail,Recht,175,12,1.31,featured-snippet|people-also-ask|video,14.6,estimated,ai act recruiting,KI & Automatisierung im Recruiting,2,3,4,False,AI-Powered Recruiting and Sourcing,KI-gestütztes Recruiting und Sourcing
urlaubsplanung software,commercial,cluster_09,body,Tool,705,50,6.3,ads|shopping|site-links,14.1,estimated,urlaubsplanung software,HR & Mitarbeiterverwaltung,10,2,3,True,HR and Document Management Software,HR und Dokumentenverwaltungssoftware
tariflandschaft zeitarbeit,informational,cluster_10,body,Tarif,701,50,1.52,people-also-ask|video,14.0,estimated,tariflandschaft zeitarbeit,Branchentrends & Marktentwicklung,8,8,10,True,Liquidity Equal Pay and Collective Agreements,Liquidität Equal Pay und Tarifvertrag
offboarding prozess,informational,cluster_09,body,Prozess,517,37,1.91,people-also-ask|video,14.0,estimated,offboarding prozess,HR & Mitarbeiterverwaltung,4,10,12,True,Payroll and Applicant Management,Lohnabrechnung und Bewerberverwaltung
payroll software zeitarbeit,commercial,cluster_02,body,Synonym,671,48,3.21,ads,14.0,estimated,payroll software zeitarbeit,Lohnabrechnung & Payroll,1,1,1,False,Time Tracking and Staffing Software,Zeiterfassung und Zeitarbeitssoftware
gehaltsabrechnung outsourcing,commercial,cluster_02,body,Service-Modell,765,55,4.48,site-links,13.9,estimated,gehaltsabrechnung outsourcing,Lohnabrechnung & Payroll,6,5,7,True,Personnel Management and Recruiting Processes,Personalverwaltung und Recruiting Prozesse
betriebsrat zeitarbeit,informational,cluster_06,body,Mitbestimmung,353,26,1.24,featured-snippet,13.6,estimated,betriebsrat zeitarbeit,AUEG & Rechtssicherheit,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
einsatzplanung zeitarbeit,commercial,cluster_04,body,Funktion,658,49,2.95,ads,13.4,estimated,einsatzplanung zeitarbeit,Zeiterfassung & Disposition,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
recruiting automatisieren,informational,cluster_12,body,Aufgabe,699,52,0.92,featured-snippet,13.4,estimated,recruiting automatisieren,KI & Automatisierung im Recruiting,2,3,4,False,AI-Powered Recruiting and Sourcing,KI-gestütztes Recruiting und Sourcing
applicant tracking system deutsch,commercial,cluster_03,body,Synonym,671,50,2.65,ads,13.4,estimated,applicant tracking system deutsch,Recruiting & Bewerbermanagement,2,3,4,False,AI-Powered Recruiting and Sourcing,KI-gestütztes Recruiting und Sourcing
erp zeitarbeit,commercial,cluster_01,body,Kategoriebegriff,565,43,11.83,shopping,13.1,estimated,erp zeitarbeit,Zeitarbeitssoftware & zvoove One,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
fluktuation senken zeitarbeit,informational,cluster_09,longtail,Strategie,117,9,1.05,featured-snippet,13.0,estimated,fluktuation senken zeitarbeit,HR & Mitarbeiterverwaltung,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
lohnabrechnung sage,commercial,cluster_02,body,Wettbewerb,604,47,11.71,ads|shopping,12.9,estimated,lohnabrechnung sage,Lohnabrechnung & Payroll,4,10,12,False,Payroll and Applicant Management,Lohnabrechnung und Bewerberverwaltung
equal treatment zeitarbeit,informational,cluster_06,body,Synonym,594,46,0.73,featured-snippet|people-also-ask,12.9,estimated,equal treatment zeitarbeit,AUEG & Rechtssicherheit,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
echtes factoring,informational,cluster_05,body,Variante,244,19,0.64,video,12.8,estimated,echtes factoring,Liquiditaet & Factoring,0,9,11,False,Factoring Booking and Approval,Factoring Buchung und Genehmigung
lohnsteuer zeitarbeit,informational,cluster_02,body,Steuerfrage,663,52,0.74,featured-snippet|video,12.8,estimated,lohnsteuer zeitarbeit,Lohnabrechnung & Payroll,8,8,10,True,Liquidity Equal Pay and Collective Agreements,Liquidität Equal Pay und Tarifvertrag
